id,nombre,edad,direcciones,semestre,promedio,materias,numInscripcion
1,Gabriel Ana Reza Romero,21,Av. Aguascalientes Sur N° 402,septimo semestre,8.294501,Lenguajes Formales y Automatas , Sistema de Comunicaciones , Calculo y Geometria Analitica , Ingenieria de Software , Sistemas Distribuciones,87764.13
2,Laura Nava Toledo,18,Av. Aguascalientes Oriente No. 2606,primer semestre,5.2098417,Ecuacion Diferenciales , Fundamentos de Sistemas Embebidos , Ingenieria de Software , Circuitos Electricos , Redes de Datos Seguras,6909.61
3,Mateo Sofia González Maldonado,20,Av. Independencia No. 2301,quinto semestre,7.9823723,Algebra , Electricidad y Magnetismo , Computo Movil , Circuitos Electricos , Mecanica,53044.836
4,Guadalupe Cecilia De los Santos Fernández,19,Prolongacion Tecuexe S/N Lomas Del Chapulin,tercer semestre,5.4868674,Fundamentos de Estadistica , Estructura de Datos y Aalgoritmos II , Base de Datos , Sistema de Comunicaciones , Recursos y Necesidades de Mexico,7393.728
5,Diego Jose Córdova Flores,22,Cuarto Andador Palenque N° 101 Infonavit Morelos,noveno semestre,9.114751,Base de Datos , Electricidad y Magnetismo , Sistemas Operativos , Redes de Datos Seguras , Fundamentos de Estadistica,384199.72
6,Camila Diego Mimbrera Romero,21,Diagonal Alfil N° 402 Mujeres Ilustres,septimo semestre,5.704859,Fundamentos de Fisica , Seguridad informatica , Sistemas Distribuciones , Circuitos Electricos , Computacion Grafica Avanzada,2766.536
7,Karla Juan Peñaloza Rueda,18,Av. La Espiga Z 1 L 2 Mz 39 Real De Haciendas,primer semestre,9.846513,Sistemas Distribuciones , Diseño Digital VLSI , Redaccion y Exposicion de Temas de Ingenieria , Estructura de Datos y Aalgoritmos II , Organizacion y Arquitectura de Computadoras,52689.113
8,Valentina Marín Mimbrera,18,Av. Paseo De La Cruz N° 506-B Los Volcanes Infonavit,primer semestre,9.252232,Finanza en la Ingenieria en Computacion , Base de Datos , Dispositivos Electronicos , Quimica , Seguridad informatica,37794.938
9,Sebastian Flores Díaz,22,Av Morelos 305 Colonia Centro,noveno semestre,6.8456798,Fundamentos de Programacion , Electricidad y Magnetismo , Inteligencia Artificial , Calculo Vectorial , Analisis Numerico,5710.385
10,Guadalupe Ibáñez León,18,Av Indipendencia 2351 Colonia Trojes De Alonso,primer semestre,6.983204,Estructuras Discretas , Fundamentos de Fisica , Sistemas Distribuciones , Calculo Vectorial , Optativa de Campo de Profundizacion,31076.615
11,Ximena Guadarrama Delgado,18,Av. Siglo Xxi No. 3980,primer semestre,9.73291,Lenguajes Formales y Automatas , Estructuras Discretas , Dispositivos Electronicos , Sistemas Operativos , Recursos y Necesidades de Mexico,228448.75
